"","nameparse","yearone","hosts"
"10374","Protomicrocotyle mirabilis",1916,6
"10375","Protomicrocotyle pacifica",1934,1
"10376","Protospirura ascaroidea",1908,4
"10377","Protospirura bonnei",1930,NA
"10378","Protospirura columbiana",1924,1
"10379","Protospirura gracilis",1923,1
"10380","Protospirura kaindiensis",1982,1
"10381","Protospirura muricola",1936,15
"10382","Protospirura muris",1896,28
"10383","Protospirura numidica",1932,16
"10384","Protospirura okinavensis",1984,1
"10385","Protospirura sp.",1934,NA
"10386","Protospirura tentaculata",1938,NA
"10387","Protospiura peromysci",1966,NA
"10388","Protostrongyloides cervi",1951,NA
"10389","Protostrongylus agerteri",1941,NA
"10390","Protostrongylus boughtoni",1942,8
"10391","Protostrongylus coburni",1933,NA
"10392","Protostrongylus davtiani",1975,3
"10393","Protostrongylus frosti",1942,NA
"10394","Protostrongylus gracilis",1943,NA
"10395","Protostrongylus kwongi",1943,NA
"10396","Protostrongylus leporis",1934,NA
"10397","Protostrongylus macrotis",1930,1
"10398","Protostrongylus pulmonalis",2003,4
"10399","Protostrongylus rufescens",1948,24
"10400","Protostrongylus rupricaprae",1932,NA
"10401","Protostrongylus rushi",1935,3
"10402","Protostrongylus sp.",1929,NA
"10403","Protostrongylus stilesi",1930,5
"10404","Prototrema himezi",1951,NA
"10405","Protozoophaga obesa",1993,2
"10406","Protrelleta floridana",1929,NA
"10407","Protrellus aurifluus",1930,2
"10408","Protrellus manni",1929,1
"10409","Protrellus sp.",1993,NA
"10410","Prouterina wescotti",1995,1
"10411","Pselionema annulatum",1934,NA
"10412","Pselionema hexalatum",1934,NA
"10413","Pselionema rigidum",1934,NA
"10414","Psettarium anthicum",2000,NA
"10415","Psettarium sebastodorum",1967,25
"10416","Pseudabbreviata amaniensis",2007,1
"10417","Pseudabbreviata novaeguineaensis",2005,NA
"10418","Pseudabbreviata nudamphida",1965,NA
"10419","Pseudabbreviata yambarensis",2009,1
"10420","Pseudacaenodera cristata",1962,2
"10421","Pseudacaenodera samariensis",1978,NA
"10422","Pseudacanthocotyla pacifica",1928,1
"10423","Pseudacanthostomum panamense",1995,NA
"10424","Pseudacolpenteron pavlovskii",1967,11
"10425","Pseudalaeuris auricularis",1931,NA
"10426","Pseudalaeuris longispicula",1933,NA
"10427","Pseudalaeuris macroptera",1931,NA
"10428","Pseudalaeuris pharyngodentata",1931,NA
"10429","Pseudalaeuris sp.",1926,NA
"10430","Pseudalaeuris waltoni",1950,NA
"10431","Pseudalaeuris xantusi",1948,NA
"10432","Pseudalius convolutus",1885,NA
"10433","Pseudalius inflexus",1885,8
"10434","Pseudalius ovis",1889,NA
"10435","Pseudallassostoma heteroxenus",1986,1
"10436","Pseudallobenedenia apharei",1964,1
"10437","Pseudallobenedenia opakapaka",1963,1
"10438","Pseudamphimerus sterni",1938,1
"10439","Pseudamphistomum indicum",1893,NA
"10440","Pseudanisakis rotundatus",1938,NA
"10441","Pseudanisakis sp.",1975,NA
"10442","Pseudanthocotyloides banghami",1938,NA
"10443","Pseudapatemon aldousi",1936,NA
"10444","Pseudapatemon eroliae",1984,NA
"10445","Pseudaprocta decorata",1954,1
"10446","Pseudaprocta gubernacularia",1959,2
"10447","Pseudaprocta samueli",1979,2
"10448","Pseudaprocta sichotealinenesis",1958,NA
"10449","Pseudaprocta sp.",1897,NA
"10450","Pseudaptemon eroliae",2001,NA
"10451","Pseudaspidodera sp.",1927,NA
"10452","Pseudaxine bivaginalis",1960,5
"10453","Pseudaxine decapteri",1963,NA
"10454","Pseudaxine indicana",1951,NA
"10455","Pseudaxine mexicana",1934,4
"10456","Pseudaxinoides cariacoensis",1979,1
"10457","Pseudempleurosoma carangis",1962,1
"10458","Pseudempleurosoma gibsoni",2008,2
"10459","Pseudeubothroides lepidocybii",1964,NA
"10460","Pseudexorchis major",1975,18
"10461","Pseudoacanthocephalus bufonis",2004,11
"10462","Pseudoacanthocephalus caucasicus",2005,NA
"10463","Pseudoacanthocephalus nguyenthileae",1998,NA
"10464","Pseudoacanthocephalus reesei",2006,NA
"10465","Pseudoacanthocephalus sp.",2011,NA
"10466","Pseudoacanthocotyle williamsi",1936,NA
"10467","Pseudoacanthostomum floridensis",1963,1
"10468","Pseudoacanthostomum panamense",1990,6
"10469","Pseudoacanthostomum sp.",1982,NA
"10470","Pseudoalaeuris clementensis",1962,NA
"10471","Pseudoalaeuris priapus",1963,NA
"10472","Pseudoalaeuris riversianae",1962,NA
"10473","Pseudoalaeuris sauromali",1962,NA
"10474","Pseudoalaeuris yumanae",1962,NA
"10475","Pseudoallacanthochasmus sp.",1962,NA
"10476","Pseudobacciger cablei",1968,2
"10477","Pseudobarisomum holacanthi",1951,1
"10478","Pseudobenedenia elongata",1964,NA
"10479","Pseudobenedenia merinthe",1963,NA
"10480","Pseudobenedenia ovalis",1963,NA
"10481","Pseudobenedenia shorti",1961,1
"10482","Pseudobenthotrema richardsoni",1951,NA
"10483","Pseudobiacantha parnelli",1969,NA
"10484","Pseudobicotylophora atlantica",1978,5
"10485","Pseudobilharziella burnetti",1940,NA
"10486","Pseudobilharziella horiconensis",1940,NA
"10487","Pseudobilharziella kegonsensis",1940,NA
"10488","Pseudobilharziella lonchurae",1960,NA
"10489","Pseudobilharziella waubesensis",1940,NA
"10490","Pseudobuncocotyla awa",1963,NA
"10491","Pseudocapillaria tomentosa",2015,102
"10492","Pseudocaryophyllaeus ritai",1968,1
"10493","Pseudocaryophyllaeus tenuicollis",1968,NA
"10494","Pseudochauhanea sphyraenae",1963,1
"10495","Pseudochristianella elegantissima",1993,NA
"10496","Pseudochristianella nudiscula",1993,NA
"10497","Pseudocittotaenia glandularis",1948,NA
"10498","Pseudocleptodiscus margaritae",1986,2
"10499","Pseudocolocyntotrema yaito",1963,3
"10500","Pseudocotyle adpiculatum",1906,NA
"10501","Pseudocreadium ghanensis",1966,2
"10502","Pseudocreadium lamelliforme",1930,1
"10503","Pseudocreadium monacanthi",1951,8
"10504","Pseudocreadium sp.",1975,NA
"10505","Pseudocrocodilicola americaniense",1938,NA
"10506","Pseudocrocodilicola georgiana",1938,1
"10507","Pseudocrocodilicola sp.",1930,NA
"10508","Pseudocryptogonimus cirrhiti",1990,1
"10509","Pseudocryptotropa formosae",1958,NA
"10510","Pseudocryptotropa malaysiae",1960,NA
"10511","Pseudodactylogyrus anguillae",1992,6
"10512","Pseudodelphis chilensis",2008,NA
"10513","Pseudodelphis oligocotti",1835,1
"10514","Pseudodichadena lobata",1975,NA
"10515","Pseudodiclidophora decapteri",1963,NA
"10516","Pseudodinosoma macrorchis",1963,NA
"10517","Pseudodiorchis reynoldsi",1975,NA
"10518","Pseudodiplorchis americanus",1971,2
"10519","Pseudodiplostomum truncatum",1981,NA
"10520","Pseudodiscocotyla opakapaka",1963,NA
"10521","Pseudodiscus collinsi",1895,12
"10522","Pseudoentobdella pacifica",1927,1
"10523","Pseudogilquinia microbothria",1916,NA
"10524","Pseudogrillotia epinepheli",1916,NA
"10525","Pseudogrillotia zerbiae",2000,4
"10526","Pseudogymnophallus alcae",1959,NA
"10527","Pseudohaliotrema carbunculus",1954,1
"10528","Pseudohaliotrema molnari",2001,1
"10529","Pseudohaliotrema mugilinus",1992,1
"10530","Pseudohaliotrema sphincteroporus",1985,6
"10531","Pseudohaliotrematoides aurigae",1963,NA
"10532","Pseudohaliotrematoides falcatus",1963,NA
"10533","Pseudohaliotrematoides microphallus",1963,NA
"10534","Pseudohaliotrematoides recurvatus",1966,NA
"10535","Pseudohaliotrematoides triangulovagina",1963,3
"10536","Pseudohaliotrematoides zancli",1963,NA
"10537","Pseudohapladena bengalense",1972,NA
"10538","Pseudohapladena lizae",2001,1
"10539","Pseudohapladena megaorchis",2001,1
"10540","Pseudohargisia cortesi",1968,NA
"10541","Pseudohexabothrium taeniurae",1986,1
"10542","Pseudohurleytrema eucinostomi",1951,3
"10543","Pseudohurleytrema eucionstomi",1994,NA
"10544","Pseudohurleytrema shorti",1963,1
"10545","Pseudolacistorhynchus nanus",2004,NA
"10546","Pseudolamellodiscus sphyraenae",1996,2
"10547","Pseudolecithaster antimorae",1974,1
"10548","Pseudolepidapedon sinaloense",1951,3
"10549","Pseudoleptobothrium aptychotremae",2004,NA
"10550","Pseudolevinseniella anenteron",1966,2
"10551","Pseudolitomosa sp.",1959,NA
"10552","Pseudolueheia pittae",1962,NA
"10553","Pseudomagnivitellinum ictalurum",1977,NA
"10554","Pseudomarshallagia elongata",2008,NA
"10555","Pseudomazocraeoides megalocotyle",1938,1
"10556","Pseudomazocraeoides ontariensis",1970,1
"10557","Pseudomazocraes monsivaisae",1955,8
"10558","Pseudomazocraes selene",1975,7
"10559","Pseudomegalophallus diodontis",1991,NA
"10560","Pseudomurraytrema coosense",1965,NA
"10561","Pseudomurraytrema etowanum",1980,NA
"10562","Pseudomurraytrema fluviatilis",1967,NA
"10563","Pseudomurraytrema milleri",1980,NA
"10564","Pseudomurraytrema moxostomi",1968,NA
"10565","Pseudomurraytrema muelleri",1966,NA
"10566","Pseudomurraytrema paradoxum",1965,NA
"10567","Pseudomurraytrema rogersi",1968,NA
"10568","Pseudoneodiplostomum acetabulata",1938,NA
"10569","Pseudoneodiplostomum thomasi",1956,1
"10570","Pseudonitzschia uku",1963,NA
"10571","Pseudopecoeloides akule",1963,1
"10572","Pseudopecoeloides boops",1964,NA
"10573","Pseudopecoeloides carangis",1962,12
"10574","Pseudopecoeloides equesi",1951,1
"10575","Pseudopecoeloides opelu",1963,NA
"10576","Pseudopecoeloides parviacetabulatus",1963,NA
"10577","Pseudopecoeloides tenuis",1951,1
"10578","Pseudopecoeloides wekoula",1963,NA
"10579","Pseudopecoelus acanthuri",1966,NA
"10580","Pseudopecoelus barkeri",1910,2
"10581","Pseudopecoelus brevivesiculatus",1949,NA
"10582","Pseudopecoelus ghanensis",1965,NA
"10583","Pseudopecoelus gibbonsiae",1940,NA
"10584","Pseudopecoelus hemilobatus",1951,1
"10585","Pseudopecoelus japonicus",1951,16
"10586","Pseudopecoelus manteri",1958,NA
"10587","Pseudopecoelus maomao",1965,NA
"10588","Pseudopecoelus nossamani",1973,1
"10589","Pseudopecoelus puhipaka",1964,NA
"10590","Pseudopecoelus scomberi",1966,1
"10591","Pseudopecoelus sphyraenae",1963,NA
"10592","Pseudopecoelus tortugae",1951,4
"10593","Pseudopecoelus umbrinae",1940,2
"10594","Pseudopecoelus vulgaris",1951,19
"10595","Pseudophyllodistomum johnstoni",1982,NA
"10596","Pseudophyllodistomum murrayense",1965,NA
"10597","Pseudophysaloptera formosana",1936,5
"10598","Pseudophysaloptera soricina",1958,2
"10599","Pseudophysaloptera sp.",1951,NA
"10600","Pseudopisthodiscus americana",1930,NA
"10601","Pseudopisthodiscus americanus",2004,1
"10602","Pseudopisthogyne lepidocybii",1963,NA
"10603","Pseudopisthogynopsis lepidocybii",1963,NA
"10604","Pseudopisthomonorchis carangi",1969,NA
"10605","Pseudoplagioporus brevivitellus",1974,2
"10606","Pseudoplagioporus interruptus",1963,9
"10607","Pseudopolystoma dendriticum",1996,1
"10608","Pseudoporrorchis hylae",1953,NA
"10609","Pseudoporrorchis sp.",1945,NA
"10610","Pseudopsilostoma varium",1995,2
"10611","Pseudopterinotrema albulae",1963,NA
"10612","Pseudorenifer brachyoesophagidius",1934,NA
"10613","Pseudorenifer drymarchon",1935,NA
"10614","Pseudorenifer natricis",1934,NA
"10615","Pseudorenifer sp.",1937,NA
"10616","Pseudorhabdosynochus americanus",2011,1
"10617","Pseudorhabdosynochus amplidiscatum",2007,NA
"10618","Pseudorhabdosynochus argus",2005,NA
"10619","Pseudorhabdosynochus auitoe",2004,NA
"10620","Pseudorhabdosynochus bacchus",2006,NA
"10621","Pseudorhabdosynochus beverleyburtonae",2013,1
"10622","Pseudorhabdosynochus buitoe",2004,NA
"10623","Pseudorhabdosynochus bunkleywilliamsae",1992,NA
"10624","Pseudorhabdosynochus calathus",2004,NA
"10625","Pseudorhabdosynochus caledonicus",2003,NA
"10626","Pseudorhabdosynochus capurroi",1967,1
"10627","Pseudorhabdosynochus chauveti",2005,NA
"10628","Pseudorhabdosynochus contubernalis",2008,NA
"10629","Pseudorhabdosynochus crassus",2005,NA
"10630","Pseudorhabdosynochus cuitoe",2004,NA
"10631","Pseudorhabdosynochus cupatus",2006,NA
"10632","Pseudorhabdosynochus cyanopodus",2005,NA
"10633","Pseudorhabdosynochus cyathus",2004,NA
"10634","Pseudorhabdosynochus dionysos",2009,NA
"10635","Pseudorhabdosynochus duitoe",2004,NA
"10636","Pseudorhabdosynochus epinepheli",2008,9
"10637","Pseudorhabdosynochus euitoe",2005,NA
"10638","Pseudorhabdosynochus exoticoides",2009,NA
"10639","Pseudorhabdosynochus exoticus",2005,NA
"10640","Pseudorhabdosynochus firmicoleatus",2011,NA
"10641","Pseudorhabdosynochus fuitoe",2004,NA
"10642","Pseudorhabdosynochus guerreroensis",2007,NA
"10643","Pseudorhabdosynochus guitoe",2004,NA
"10644","Pseudorhabdosynochus hirundineus",2004,NA
"10645","Pseudorhabdosynochus huitoe",2004,NA
"10646","Pseudorhabdosynochus hyphessometochus",1973,NA
"10647","Pseudorhabdosynochus justinella",2003,NA
"10648","Pseudorhabdosynochus kritskyi",1969,1
"10649","Pseudorhabdosynochus malabaricus",2005,NA
"10650","Pseudorhabdosynochus manifestus",2005,NA
"10651","Pseudorhabdosynochus maternus",2005,NA
"10652","Pseudorhabdosynochus mcmichaeli",2008,NA
"10653","Pseudorhabdosynochus meganmarieae",2009,NA
"10654","Pseudorhabdosynochus melanesiensis",1952,NA
"10655","Pseudorhabdosynochus minutus",2005,NA
"10656","Pseudorhabdosynochus mizellei",1962,NA
"10657","Pseudorhabdosynochus monaensis",1975,1
"10658","Pseudorhabdosynochus morrhua",2008,NA
"10659","Pseudorhabdosynochus mycteropercae",1973,NA
"10660","Pseudorhabdosynochus pai",2007,NA
"10661","Pseudorhabdosynochus podocyanus",2003,NA
"10662","Pseudorhabdosynochus seabassi",2003,NA
"10663","Pseudorhabdosynochus sp.",1980,NA
"10664","Pseudorhabdosynochus sp.1",1993,NA
"10665","Pseudorhabdosynochus sp.2",1993,NA
"10666","Pseudorhabdosynochus spirani",2007,NA
"10667","Pseudorhabdosynochus sulamericanus",2011,1
"10668","Pseudorhabdosynochus tabogaensis",2007,NA
"10669","Pseudorhabdosynochus tumeovagina",1972,NA
"10670","Pseudorhabdosynochus uitoe",2004,NA
"10671","Pseudorhabdosynochus urceolus",2007,NA
"10672","Pseudorhabdosynochus variabilis",2008,NA
"10673","Pseudorhabdosynochus vascellum",2008,NA
"10674","Pseudorhabdosynochus venus",2004,NA
"10675","Pseudorhabdosynochus viscosus",2006,NA
"10676","Pseudorhabdosynochus williamsi",1960,NA
"10677","Pseudorhabdosynochus woodi",1973,NA
"10678","Pseudorhabdosynochus youngi",2003,NA
"10679","Pseudorhabdosynochus yucatanensis",1993,1
"10680","Pseudorictularia dipsarilis",2002,NA
"10681","Pseudorictularia dipsarlis",2009,NA
"10682","Pseudorictularia disparilis",2002,9
"10683","Pseudoscolopacitrema otteri",1977,NA
"10684","Pseudosiphoderoides opakapaka",1963,1
"10685","Pseudosiphoderoides rooseveltiae",1963,NA
"10686","Pseudosonsinotrema catesbeianae",1994,2
"10687","Pseudosonsinotrema chabaudi",1969,NA
"10688","Pseudosonsinotrema megalorchis",1983,NA
"10689","Pseudosonsinotrema sphenomorphi",1960,NA
"10690","Pseudospelotrema charadiri",1952,NA
"10691","Pseudospelotrema japonicum",1974,8
"10692","Pseudospelotrema nyctanassae",1951,NA
"10693","Pseudospelotrema sp.",2002,NA
"10694","Pseudostertagia bullosa",1910,3
"10695","Pseudostrongyluris polychrus",1964,NA
"10696","Pseudotagia pomadasys",2009,NA
"10697","Pseudotagia rubri",1991,1
"10698","Pseudotelorchis caimanis",1989,1
"10699","Pseudotelorchis compactus",1940,1
"10700","Pseudotelorchis yacarei",1987,1
"10701","Pseudoterranova decipiens",1967,238
"10702","Pseudoterranova kogiae",1962,1
"10703","Pseudoterranova sp.",1974,NA
"10704","Pseudothoracocotyle gigantica",1975,NA
"10705","Pseudotobothrium arii",2002,2
"10706","Psiciamphistoma reynoldsi",1974,NA
"10707","Psilocephala haemorrhoidalis",1922,NA
"10708","Psilocephala sp.",1940,NA
"10709","Psilochasmus oxyurus",1920,39
"10710","Psilochasmus sp.",1930,NA
"10711","Psilorchis ajgainis",1956,NA
"10712","Psilostomum lineatum",1915,1
"10713","Psilostomum magniovum",1972,2
"10714","Psilostomum marilae",1928,NA
"10715","Psilostomum ondatrae",1928,2
"10716","Psilostomum platyurum",1897,NA
"10717","Psilostomum sp.",1960,NA
"10718","Psilostomum varium",1911,NA
"10719","Psilotornus audacirrus",1965,NA
"10720","Psophiatrema greineri",2008,NA
"10721","Pterinotrematoides mexicanum",1975,8
"10722","Pterobothrioides carvajali",1996,1
"10723","Pterobothrium australiense",1985,2
"10724","Pterobothrium crassicolle",1916,15
"10725","Pterobothrium heteracanthum",1883,69
"10726","Pterobothrium hira",1962,2
"10727","Pterobothrium kingstoni",1914,4
"10728","Pterobothrium lesteri",2004,2
"10729","Pterobothrium lintoni",1914,15
"10730","Pterobothrium platycephalum",1999,2
"10731","Pterobothrium senegalense",1946,3
"10732","Pterobothrium tangoli",1916,NA
"10733","Pterocleidus acer",2003,4
"10734","Pteroinotrema mirabilis",1958,NA
"10735","Pterothominx moraveci",2007,NA
"10736","Pterygodermatites (Multipectines)",1976,NA
"10737","Pterygodermatites (Paucipectines)",1980,NA
"10738","Pterygodermatites affinis",1959,5
"10739","Pterygodermatites coloradensis",1912,2
"10740","Pterygodermatites dipodomis",1996,1
"10741","Pterygodermatites nycticebi",1979,7
"10742","Pterygodermatites parkeri",1958,NA
"10743","Pterygodermatites peromysci",1920,3
"10744","Pterygodermatites sp.",1944,1
"10745","Pterygodermatites whartoni",1993,2
"10746","Ptilotolepis reductorhyncha",1959,NA
"10747","Ptychogonimus megastomus",1894,9
"10748","Ptylinincola ondatra",1962,NA
"10749","Pulchrascaris sp.",1915,NA
"10750","Pulchrosomoides elegans",2000,2
"10751","Pulmostrongylus herpestis",1927,NA
"10752","Pulmostrongylus sp.",1960,NA
"10753","Pulmovermis cyanovitellosus",1959,1
"10754","Pycnadena africana",1967,NA
"10755","Pycnadena lata",1978,1
"10756","Pycnadena latus",1908,NA
"10757","Pycnadena periforme",1933,NA
"10758","Pycnadena sp.",1977,NA
"10759","Pycnadenoides ghanensis",1965,3
"10760","Pycnadenoides pagrosomi",1985,2
"10761","Pycnadenoides senegalensis",1954,6
"10762","Pycnoporus acetabulatus",1898,6
"10763","Pycnoporus heteroporus",1981,25
"10764","Pycnoporus ramsesi",1962,NA
"10765","Pycnoporus rhinolophi",1975,4
"10766","Pycnoporus taiwanensis",1957,NA
"10767","Pycnoporus transversus",1977,1
"10768","Pyelosomum cochlear",1902,NA
"10769","Pyelosomum posterorchis",1970,3
"10770","Pyelosomum renicapite",1973,3
"10771","Pygidiopsis ardeae",1989,11
"10772","Pygidiopsis cambodiensis",2010,1
"10773","Pygidiopsis genata",1932,54
"10774","Pygidiopsis marivillai",1960,1
"10775","Pygidiopsis pindoramensis",1992,8
"10776","Pygidiopsis plana",1912,1
"10777","Pygorchis affixus",1897,2
"10778","Pyragraphorus incomparabilis",1916,5
"10779","Pyragraphorus pyragraphorus",1912,5
"10780","Pyramicocephalus anthocephalus",1926,5
"10781","Pyramicocephalus phocarum",1915,28
"10782","Pyrirhynchus heterospinus",2000,NA
"10783","Quadcuspidobothium francisi",1996,NA
"10784","Quadriacanthus allobychowskiella",1984,4
"10785","Quadriacanthus ashuri",1984,2
"10786","Quadriacanthus bagrae",1984,8
"10787","Quadriacanthus clariadis",1994,8
"10788","Quadriacanthus numidus",1984,2
"10789","Quadriacanthus papernai",1984,2
"10790","Quadrifoliovarium pritchardae",1963,2
"10791","Quadrigyrus nickoli",1969,1
"10792","Quadrigyrus torquatus",1969,6
"10793","Quadriplotriaena dolichodemus",1930,NA
"10794","Quadriplotriaena hyposokysta",1963,NA
"10795","Quadriplotriaena sp.",1939,NA
"10796","Quadriplotriaena sturni",1903,NA
"10797","Quasithelazia rostrata",2010,NA
"10798","Quilonia africana",1964,1
"10799","Quilonia loxodontae",2001,NA
"10800","Quilonia magna",1964,NA
"10801","Quilonia sp.",1964,NA
"10802","Quinqueserialis hassalli",1920,7
"10803","Quinqueserialis quinqueserialis",1892,22
